id,name
6548011,SICHUAN KILOWAY ELECTRONICS INC
1243310,EMPIRE OF CAROLINA ACQUISITION CORPORATION
6323561,MARATHON GTF TECHNOLOGY LTD
6476532,OTAGO INNOVATION LTD
6546328,PRIME RESEARCH ALLIANCE E INC
2630874,WESTFALIA SEPARATOR FOOD TEC GMBH
2406110,SIGNATURE BIOSCIENCE INC
2899409,TERRAMARC INDUSTRIES INC
2831463,DEEPQ TECHNOLOGIES
211654,INTERNATIONALE OCTROOI MATSCHAPPIJ OCTROPA BV ROCHUSSENSTRAAT 78 ROTTERDAM NETHERLANDS A DUTCH
6401222,BJTCB INC
141299,ALLIED COLLIODS LIMITED A BRITISH COMPANY
1998711,INRANGE TECHNOLGIES CORPORATION
6539849,TRU CORPORATION
3017362,AUTOMATED CONCEPTS LLC
5913719,YONWOO CO LTD
6217718,INNER MONGOLIA DATANG INTERNATIONAL RECYCLING RESOURCE DEVELOPMENT CO LTD
4635559,NTECH LED CO LTD
3985510,AMPSON TECHNOLOGY INC
6278570,BERGANS FRITID AS
1115485,SETRA SYSTEMS INC
1982843,SANTOS SA SOCIETE ANOMYME
6316975,VIOGA GMBH
3445858,J&P CONCEPTS LLC
4440153,INTERNATIONAL FINANCIAL SERVICES 1 LLC
3610912,ALCAN PACKAGING SELESTAT
3983486,INTELLECTSPACE CORPORATION
2392271,INNOTEC EUROPE GMBH
2470591,EUROPROMECC ENGINEERING SNC DI TREVISAN FABIO SEGHETTO E SBABO
578056,PREMIER GEAR & MACHINE WORKS 1700 NW THURMAN PORTLAND OR 97210 AN OREGON CORP
6461119,RIVERSIDE HYDRONICS LLC
999002,FLOATING SWIMWEAR INC
5708398,KABUSHIKI KAISHA YOSHINO KOSAKUJO
6529264,MONDELEZ CANADA INC
78710,GEOTECHNICAL TEST SYSTEMS INC
6527407,SELDON TECHNOLOGIES INC
1864142,RAHIJARVI MIKA MARKO
46730,ALLAIN JOHN R ALLAIN TIMOTHY S AND ALLAIN CHRISTINA R AND ALLAIN REGINA G ALL HEIRS OF J
3561465,CLOVERLEAF GROUP INC
3197780,DA TANG MOBILE COMMUNICATIONS EQUIPMENT CO LTD
6524047,DIMI TELEMATICS INC
953934,SIXTEL SPA
4284236,SCHUKRA OF NORTH AMERICA
1106282,BONGARD THOMAS G
162564,HACKNEY JAMES A III
2230318,JEOL LTD
5726425,AXELL CORPORATION
6520423,DIGITAL SYSTEMS TECHNOLOGY INC
258623,LAEVOSANGESELLSCHAFT MBH & CO KG CHEMISCHPHARMAZEUTISCHE INDUSTRIE
241020,INSTITUT KHIMICHEDKOI FIZIKI INSTITUT GLAZNYKH BOLEZNEI INENI GELMGOLTSA VSESOJUZNY NAUCHNOISSLED
5638087,PARKMOBILE USA INC
774115,GLENFED FINANCIAL CORPORATION
68696,WITEC CAYMAN PATENTS LTD CAYHAVEN CORPORATE SERVICES LTD A CAYMAN ISLAND CORP
6243510,YEN WENKUNG
354518,INNOFINANCE ALTALANOS INNOVACIOS PENZINTEZET A CORP HUNGARY
1970749,HIGH TORQUE FASTENER SYSTEMS USA INC A CORPORATION OF ILLINOIS
1111860,ARROW TRADING GROUP INC A CONNECTICUT CORPORATION
6515252,ONCORPS INC
6513273,MUBI UK LIMITED
774823,BRIDGESTONEFIRESTONE I NC
3218414,LATITUDE MACHINERY CORP
